LP,Bezeichnung,Kapitel/Titel,
L14030,Aus- und Weiterbildung,,
L14040,Innovationsunterstützende Massnahmen,,
L14050,Nationale Kontaktstellen,,
L141,Begleitende Maßnahmen - Kompetenzzentren,300468326,
L14110,Nano-Zentren,,
L14120,WING-Zentren,,
L142,Begleitende Maßnahmen - Kommunikation und Information,300468326,
L14210,Veranstaltungen,,
L14220,Publikationen,,
L150,Institutionelle Förderung,,
L15010,Institut für Spektrochemie und angewandte Spektroskopie e.V. (ISAS),,
L15020,Institut für Organische Katalyse (IfOK),,
L15030,Leibniz-Institut für Neue Materialien gGmbH in Saarbrücken - (INM),,
L15040,Leibniz-Institut für Oberflächenmodifizierung e.V. (IOM),,
L15050,Institut für Festkörper- und Werkstoffforschung Dresden e.V. (IFW),,
L15060,Leibniz-Institut für Polymerforschung Dresden e.V. (IPF),,
L190,Übrige Aktivitäten und Querschnittsaktivitäten Material- und Werkstoffforschung,300468326,
L19090,Projektstabskosten,,
L19091,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
L19092,Beratungsgremien (SK),,
L19099,Sonstiges,,
L199,Altvorhaben,300468326,
L19901,Altvorhaben Materialforschung,,
L19902,Altvorhaben Werkstoffe für Zukunftstechnologien,,
L2,Physikalische und chemische Technologien,,
L211,Optische Technologien,300468325,
,,300468326,
L21110,Optische Technologien für Information und Kommunikation,,
L21120,Optische Technologien für Beleuchtung und Umweltschutz,,
L21130,Optische Technologien für Biowissenschaften und Gesundheit,,
L21140,Optische Technologien für Produktion,,
L21150,Optische Technologien für Mobilität und Verkehr,,
L21160,Optische Technologien: Applikationsübergreifende Technologiefeldentwicklung,,
L21170,Optische Technologien: Begleitende Massnahmen zur Standortentwicklung,,
L21185,Max-Born-Inst. für Nichtlineare Optik und Kurzzeitspektroskopie (MBI) im Forschungsverbund Berlin e.V. - institutionelle Förderung,,
L21190,Projektstabskosten,,
L21191,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
L220,Oberflächen- und Mikrostrukturtechnik,300468325,
,,300468326,
L22011,"Entwicklung von Anlagen, Geräten und Verfahren - Oberflächentechniken",,
L22012,"Entwicklung von Anlagen, Geräten und Verfahren - Mikrostrukturtechniken",,
L22019,"Entwicklung von Anlagen, Geräten und Verfahren - übergreifende und sonstige Entwicklungen",,
L22021,Neue Analyseverfahren und Meßtechniken - Oberflächentechniken,,
L22022,Neue Analyseverfahren und Meßtechniken - Mikrostrukturtechniken,,
L22030,Neue Oberflächenmaterialien und -schichten insbesondere Applikationen,,
L22050,"Institut für Oberflächenmodifizierung e.V. (IOM), Leipzig - institutionelle Förderung",,
L22080,"Sonstiges, insbesondere Technologietransfer im Rahmen der Oberflächen- und Mikrostrukturtechnik",,
L230,Plasmatechnik (ohne Fusion),300468325,
,,300468326,
L23000,Plasmatechnik (ohne Fusion),,
L23050,Institut für Niedertemperatur-Plasmaphysik e.V. an der Uni Greifswald (INP) -institutionelle Förderung,,
L240,Supraleitungs- und Tieftemperaturtechnik,300468325,
,,300468326,
L24010,Supraleitende Materialien,,
L24020,Magnetbau,,
L24030,Neue Anwendungen der Supraleitung,,
L24031,Energietechnik,,
L24032,Sensorik,,
L24033,"Elektronik, HF-Technik",,
,,,
L24040,Kryotechnik,,
L250,Nanotechnologie,300468325,
,,300468326,
L25010,Laterale Nanostrukturen,,
L25020,Nano-Optoelektronik,,
L25030,Röntgentechnologie,,
L25031,EUV-Technologie,,
L25070,Ultrapräzisionsbearbeitung,,
L25099,"Sonstige Nanotechnologien und Querschnittsaktivitäten (Kompetenzzentren, Gutachterund Strategiekreis)",,
L260,"Weitere physikalische Technologien, neue Methoden und Querschnittsaktivitäten",300468325,
,,300468326,
L26010,Elektronische Korrelation und Magnetismus/Magnetoelektronik,,
L26020,Nichtlineare Dynamik,,
L26030,Photonische Kristalle,,
L26070,Sonstige neue Aktivitäten im Rahmen der physikalischen Technologien,,
L26080,Technologietransfer und sonstige Querschnittsaktivitäten,,
L26090,Projektstabskosten,,
L26091,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
L26092,Beratungsgremien (SK),,
L275,Auslaufende Maßnahmen im Rahmen der physikalischen Technologie,300468325,
,,300468326,
L27510,Elektronische Bildtechnik,,
L27520,Sensorik (soweit Vorlauf bei physikalischen Technologien),,
L27533,Adaptronik,,
L27534,Bionik,,
L27560,Auslaufende Maßnahmen im Rahmen der physikalischen Technologien,,
L27561,Schlüsselkomponenten der physikalischen Technologien,,
L27562,Meß- und Analysentechnik,,
L27563,Steuer- und Regeltechnik,,
L27564,Elektronenmikroskopie,,
L27565,Angewandte Elektronen- und Ionenoptik,,
L27566,Komponenten und Verfahren der Optik und Präzisionsmechanik,,
L27567,Materialentwicklung für Komponenten der physikalischen Technologien,,
L288,Sonstige Themen der Chemischen Technologien und Projektstabskosten,300468325,
,,300468326,
L28805,Sonstiges Fachthemen der Chemischen Technologien,,
L28810,Grundfinanzierung des ACA,,
L28815,"Identifizierung und Bewertung neuer Themen, fachliche Begleitung von Pilotvorhaben",,
L28820,Altvorhaben Chemische Technologien,,
L28890,Projektstabskosten,,
L28891,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
M,Luftfahrtforschung und Hyperschalltechnologie,,
M0,Luftfahrtforschung und Hyperschalltechnologie,,
M010,Technologie der Luftfahrzeuge,090268394,
,,090289294,
M01011,Verkehrsflugzeuge - Megaliner,,
M01012,Verkehrsflugzeuge - Eurojet,,
M01013,Verkehrsflugzeuge - Regioprop,,
M01019,Verkehrsflugzeuge - Allgemein,,
M01020,Flugzeuge der allgemeinen Luftfahrt,,
M01030,Hubschrauber,,
M01040,Umweltschonender Antrieb,,
M020,Technologie des Luftverkehrs,090268394,
,,090289294,
M02010,Flugsicherung / Bodensysteme / Navigation,,
M02020,Avionik / Ausrüstung,,
M030,Versuchsanlagen,090268394,
,,090289294,
M03010,Windkanäle,,
M03020,Sonstige Versuchsanlagen,,
M040,Hyperschall-Konzeptuntersuchungen (abgeschlossen),090268394,
,,090289294,
M04010,Hyperschall-Fluggeräte,,
,,,
M04020,Hyperschall-Antrieb,,
M04030,Sonstige Konzeptuntersuchungen,,
M050,Hyperschall - Triebwerkstechnologien (abgeschlossen),090268394,
,,090289294,
M05010,Luftstrahlantriebe,,
M05020,Staustrahlantriebe,,
M05030,Sonstige Antriebe,,
M060,Technologie der Hyperschallflugzeuge (abgeschlossen),090268394,
,,090289294,
M06010,Aerothermodynamik,,
M06020,We rkstoffe/Bauweisen,,
M06030,Unte rsyste me/Ausrüstung,,
M070,Hyperschall-Versuchsanlagen (abgeschlossen),090268394,
,,090289294,
M07010,Antriebsprüfstände,,
M07020,Hyperschall-Windkanäle,,
M07030,Sonstige Hyperschall-Versuchsanlagen,,
M090,Übrige und Querschnittsaktivitäten Luftfahrtforschung und Hyperschalltechnologie,090268394,
,,090289294,
M09010,Technologische Basis Luftfahrtforschung und Hyperschalltechnologie,,
M09020,Leitkonzeptfreie Querschnittsaufgaben,,
M09030,Strukturtechnologie / Werkstoffe,,
M09080,Fertigungstechnologien,,
M09090,Projektstabskosten,090268394,
M09091,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
M09092,Beratungsgremien (SK),,
M09099,Sonstiges im Rahmen der Luftfahrtforschung und Hyperschalltechnologie,,
N,Forschung und Technologie für Mobilität und Verkehr,,
N0,Forschung und Technologie für Mobilität und Verkehr,,
N010,Bodengebundene integrierte Verkehrssyteme,090268311,
,,090268617,
,,120268304,
,,609168361,
N01000,Mobilität in Ballungsräumen (Leitprojekte),,
N01010,Verkehrsmanagement 2010 (Leitvision),,
N01020,Verkehrsreduzierende Strukturen,,
N01030,Innovative Verkehrsinfrastrukturen und Betriebsweisen,,
N020,Personenverkehr,090268311,
,,609168361,
N02010,Schienenfernverkehr,,
N02020,Nah- und Regionalverkehr,,
N02031,Magnetbahn - Systementwicklung (bis 1996),,
N02032,Magnetbahn - TRANSRAPID-Versuchsanlage (TVE) im Emsland (bis 1996),,
N02033,Magnetbahn - Vorbereitung der Zulassung als Personenfernverkehrsmittel (ab 1996),,
N02034,Magnetbahn - BMBF-Anteil Magnetbahn-Planungsgesellschaft Berlin-Hamburg (MPG),,
N02040,Intermodaler Verkehr,,
N02050,Leit- und Informationssysteme für den Straßenverkehr,,
N02060,Leit- und Informationssysteme für den spurgeführten Verkehr,,
N030,Güterverkehr,090268311,
,,609168361,
N03010,Kombinierter Verkehr und Umschlagsysteme,,
N03020,Logistik und Transportketten,,
N03030,Schienengüterverkehr 2010 (Leitvision),,
N03040,Stück- und Massenguttransporte,,
N040,Umwelt- und Ressourcenschonung,090268311,
,,090268617,
,,609153161,
,,609166261,
,,609168361,
,,609189161,
N04010,Emissionsverringerung und Energiereinsparung im Straßenverkehr,609168361,
N04011,Alternative Antriebstechnologien,609168361,
N04020,Leiser Verkehr,,
,,,
N04030,Umwelt- und Ressourcenschonung im übrigen Verkehr,,
N050,Verkehrssicherheit,090268311,
,,609168361,
N05010,Sicherheit im Straßenverkehr,,
N05020,Sicherheit im spurgeführten Verkehr,,
N05030,Sicherheit im übrigen Verkehr,,
N060,Mobilität und Verkehr besser verstehen,090268311,
,,090268617,
,,609168361,
N06000,Mobilität und Verkehr besser verstehen,,
N070,Projektmanagement,090268311,
,,120268304,
,,609168361,
N07090,Projektstabskosten,,
N07091,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
N07092,Beratungsgremien (SK),,
O,Geowissenschaften und Rohstoffsicherung,,
O1,Geowissenschaften (insbesondere Tiefbohrungen),,
O110,Geowissenschaftliche Untersuchungen,300468540,
O11010,Geo-Prozesse der kontinentalen und ozeanischen Lithosphäre,,
O11020,"Wissenschaftliche Bohrungen in marinen, terrestrischen und polaren Gebieten (IODP; ICDP; NAD)",,
O120,Sonderprogramm Geotechnologien,300468540,
,,300489440,
O12010,Prozesse des Erdinneren; Abbildung und Erkundung des Ressourcen- und Risikokapitals,,
O12020,Erfassung des Systems Erde aus dem Weltraum,,
O12030,Globale Klimaänderungen in der Erdgeschichte: geowissenschaftliche Ursachen und Auswirkungen,,
O12040,Gashydrate: Energiequelle und Klimafaktor,,
O12050,Naturkatastrophen: Frühwarnsysteme im Erdmanagement,,
O12060,Geo-Informationssysteme im Erdmanagement,,
O12070,Kontinentränder,,
O12080,Nutzen und Schutz des unterirdischen Raumes,,
O12085,Mineraloberflächen,,
O12094,Tomographie des nutzbaren Untergrundes,,
O12095,Stoffkreisläufe: Bindeglied zwischen Geosphäre und Biosphäre,,
O190,Querschnittsaktivitäten,300468540,
,,300489440,
O19090,Projektstabskosten,,
O19091,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
O19099,Sonstiges im Rahmen der Geowissenschaften,300468540,
,,300489440,
O195,Tiefbohrungen,300468540,
O19510,Kontinentales Tiefbohrprogramm (KTB),,
O19520,Wissenschaftliche Untersuchungen im Rahmen von Tiefbohrungen,,
O19530,Abwicklung KTB,,
O19591,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
O2,Rohstoffsicherung,,
O21010,Bergbautechnik,,
O21020,Aufbereitung mineralischer Rohstoffe,,
O21030,Lagerstättenkunde,,
O21040,Erkundungsmethoden,,
O21090,Projektstabskosten,,
O21091,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
O22011,Erzaufbereitung,,
O22012,Erzaufbereitung durch bakterielle Laugung,,
O22020,Metallerzeugung,,
O22030,Rückgewinnung von Wertmetallen,,
P,Raumordnung und Städtebau; Bauforschung,,
P1,"Raumordnung, Städtebau, Wohnungswesen",,
P2,Forschung und Technologie für Bauen und Wohnen sowie den Denkmalschutz,,
P210,"Qualität, Sicherheit und Gesamtökonomie des Bauens, der Bauwerke, ihrer Nutzung und Erhaltung",300468309,
,,,
,,300468542,
P21010,Rationelle Bauverfahren (Vorfertigung und Baustellenfertigung),,
P21020,"Modernisierung, Sanierung und Erhöhung der Leistungsfähigkeit der Verkehrsinfrastruktur",,
P21030,Senkung des Primärenergie-/-rohstoffverbrauchs und der Schadensanfälligkeit bei Herstellung und Nutzung von Baustoffen/-elementen und Verbundbauteilen,,
P21040,Computer-gestützte Optimierung der Bauplanung und -ausführungssteuerung,,
P21051,"Senkung/Behebung bau- und umweltbedingter Schäden und Störbelastungen beim Bauen, an Bauten (insbesondere Baudenkmälern) und ihrer Umgebung",,
P21052,"Bauen im Bestand (Sanierung, Modernisierung, Instandsetzung)",,
P21053,"Neue Bauweisen und -technologien für Flächen sparendes, verdichtetes urbanes Bauen",,
P21060,Vorbeugender baulicher Gebäudebrandschutz,,
P21070,"Maßnahmen spezieller Zielsetzung (z.B. Grundlagenuntersg., Wissenstransfer und Qualifizierung, Versuchsanl. u. Experimente, beispielh. Gesamtsystemoptimierungen; Denkmalpflegeforschung)",,
P21090,Projektstabskosten,,
P21091,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
P21092,Beratungsgremien (SK),,
P21099,"Statusseminar, Sonstiges im Rahmen der Bauforschung und -technik",,
P220,Zukunftsverträgliches Wohnen in Stadt und Region,300468309,
,,300468542,
P22010,Nachhaltige Stadt- und Raumentwicklung,,
P22020,Wohnforschung (z.B. Folgen struktureller Entwicklungen für Wohnbedarf und Nachfrage),,
P22030,Mobilität und Siedlungsentwicklung,,
Q,Forschung und Entwicklung im Ernährungsbereich,,
Q0,Forschung und Entwicklung im Ernährungsbereich,,
Q010,"Gesunde Ernährung, Verbesserung des Ernährungsverhaltens und der Ernährungsinformation",100253201,
,,100254461,
,,100268424,
,,100268609,
,,100268619,
,,100268634,
,,100289334,
,,150268407,
Q01000,"Gesunde Ernährung, Verbesserung des Ernährungsverhaltens und der Ernährungsinformation",,
Q020,Sicherung und Verbesserung der Produkt- und Prozessqualität bei Lebensmitteln und anderen Produkten,,
Q02000,Sicherung und Verbesserung der Produkt- und Prozessqualität bei Lebensmitteln und anderen Produkten,,
Q030,"Gesunde Ernährung, Verbesserung des Ernährungsverhaltens und der Ernährungsinformation",,
Q03000,"Gesunde Ernährung, Verbesserung des Ernährungsverhaltens und der Ernährungsinformation",,
R,Forschung und Entwicklung in der Land- und Forstwirtschaft sowie der Fischerei,,
R0,Forschung und Entwicklung in der Land- und Forstwirtschaft sowie der Fischerei,,
R010,Ökologische Aspekte der Nachhaltigkeit,100268685,
,,100289388,
R01000,Ökologische Aspekte der Nachhaltigkeit,,
R01090,Projektstabskosten,,
R020,"Nachhaltige Land-, Gartenbau-, Forst-, Fischerei- und Ernährungswirtschaft; Erschließung des Potenzials nachwachsender Rohstoffe",100253201,
,,100254461,
,,100268424,
,,100268609,
,,100268619,
,,100268634,
,,100289334,
,,150268407,
R02000,"Nachhaltige Land-, Gartenbau-, Forst-, Fischerei- und Ernährungswirtschaft; Erschließung des Potenzials nachwachsender Rohstoffe",,
,,,
R02090,Projektstabskosten,,
R030,Perspektiven für ländliche Räume,100253201,
,,100254461,
,,100268424,
,,100268609,
,,100268619,
,,100268634,
,,100289334,
,,150268407,
R03000,Perspektiven für ländliche Räume,,
R040,Klimaschutz und Anpassung an den Klimawandel,100253201,
,,100254461,
,,100268424,
,,100268609,
,,100268619,
,,100268634,
,,100289334,
,,150268407,
,,160268624,
R04000,Klimaschutz und Anpassung an den Klimawandel,,
S,Bildungsforschung,,
S1,Berufsbildungsforschung,,
S105,Benachteiligtenförderung,300268520,
S10500,Benachteiligtenförderung,,
S106,"Programm ""Früherkennung von Qualikationsbedarf""",300268520,
S10600,"Programm ""Früherkennung von Qualikationsbedarf""",,
S110,"Ressortforschung, wissenschaftliche Tagungen, Erfahrungsaustausch im Bereich der beruflichen Bildung",300268520,
S11001,Innovationstransfer zur Anpassung der Berufsbildungspraxis an technische und strukturelle Erfordernisse,,
S11002,"Weiterentwicklung der beruflichen Bildung, insbesondere neue Qualifikationsstrukturen",,
S11003,Gleichwertigkeit beruflicher zu allgemeiner Bildung,,
S11004,Verbesserung der Berufsausbildung von Benachteiligten,,
S11005,Chancenverbesserung von Frauen,,
S11010,Sonstiges,,
S11030,Berufsbildungsbericht,,
S11050,Versuchs- und Modelleinrichtungen und -programme im Bereich der beruflichen Bildung,,
S11090,Projektstabskosten,,
S111,Qualifizierung von Berufsbildungspersonal,300268520,
S11100,Qualifizierung von Berufsbildungspersonal,,
S115,Maßnahmen zur Schaffung und Sicherung von Ausbildungsplätzen,300268520,
S11510,Ausbildungsplatzentwickler einschl. Regiokom-Ost,,
S11520,STARegio-Programm,,
S11530,Ausbildungsoffensive,,
S11540,Jobstarter-Programm,,
S116,Innovationskreis Berufliche Bildung,300268520,
S11610,Innovationskreis Berufliche Bildung,,
S11690,Projektstabskosten,,
S11691,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
S11692,Beratungsgremien (SK),,
S150,Bundesinstitut für Berufsbildung (BIBB),300268530,
,,300289430,
S15000,Bundesinstitut für Berufsbildung (BIBB),,
S170,Reform- und Umsetzungsstrategien des Lebenslangen Lernens in nationalen und internationalen Bezügen,300268542,
S17000,Reform- und Umsetzungsstrategien des Lebenslangen Lernens in nationalen und internationalen Bezügen,,
S17090,Projektstabskosten,,
S17091,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
S171,Qualitätsentwicklung und Strukturverbesserung der allgemeinen Weiterbildung,300268542,
S17100,Qualitätsentwicklung und Strukturverbesserung der allgemeinen Weiterbildung,,
S17190,Projektstabskosten,,
,,,
S17192,Beratungsgremien (SK),,
S172,Förderung der Weiterbildung an Hochschulen,300268542,
S17200,Förderung der Weiterbildung an Hochschulen,,
S17290,Projektstabskosten,,
S173,Modernisierung und Qualitätssicherung in der beruflichen Weiterbildung,300268542,
S17300,Modernisierung und Qualitätssicherung in der beruflichen Weiterbildung,,
S17390,Projektstabskosten,,
S174,Forschung zur betrieblichen Weiterbildung,300268542,
S17400,Forschung zur betrieblichen Weiterbildung,,
S17490,Projektstabskosten,,
S2,Übrige Bildungsforschung,,
S205,Monitoring,300368517,
S20500,Monitoring,,
S210,Kompensationsmittel Abschaffung GA Bildungsplanung,300263260,
S21000,Kompensationsmittel Abschaffung GA Bildungsplanung,,
S24000,Institutionelle Förderung im Bereich des allgemeinen Bildungswesens und der Weiterbildung,,
S250,Programm Zukunft Bildung,300268541,
S25000,Programm Zukunft Bildung,,
S25090,Projekstabskosten,,
S251,Bildungsforschung,300268541,
S25100,Bildungsforschung,,
S25190,Projekstabskosten,,
S25192,Beratungsgremien (SK),,
S252,Innovative Entwicklungsprogramme,300268541,
S25200,Innovative Entwicklungsprogramme,,
S253,Kulturelle Bildung,300268541,
S25300,Kulturelle Bildung,,
S254,Programm Schule-Wirtschaft/Arbeitsleben,300268541,
S25400,Programm Schule-Wirtschaft/Arbeitsleben,,
S260,Sonstiges im Bereich der Bildungsforschung (ohne berufliche Bildung oder tertiären Bereich),300368516,
S26000,Sonstiges im Bereich der Bildungsforschung (ohne berufliche Bildung oder tertiären Bereich),,
S280,Modellversuche und besondere Maßnahmen im tertiären Bereich des Bildungswesens,300368503,
S28010,Modellversuche im tertiären Bereich des Bildungswesens,,
S28020,"Demonstrationsprogramm ""International ausgerichtete Studiengänge""",,
S28030,Deutsch-französische Hochschule,,
S29000,Sonstiges im tertiären Bereich des Bildungswesens,,
T,Innovation und verbesserte Rahmenbedingungen,,
T1,Indirekte Förderung des FuE-Personals in der Wirtschaft,,
T110,Personalkosten-Zuschüsse,,
T120,Förderung zusätzlicher FuE-Personal-Kapazität,090268352,
T12010,Förderung zusätzlicher FuE-Personal-Kapazität,,
T12090,Projektstabskosten,,
T2,Verbesserung des Technologie- und Wissenstransfers / Förderung von innovativen Netzwerken und Forschungskooperationen,,
T21010,Technologietransfer und -beratung Inland,,
T21020,Technologietransfer in Entwicklungsländer,,
T21091,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
T220,Auftragsforschung und -entwicklung für Unternehmen der gewerblichen Wirtschaft,090268352,
T22010,Auftragsforschung und -entwicklung für Unternehmen der gewerblichen Wirtschaft,,
T22090,Verwaltung der Fördermittel (AIF),,
T230,Forschungskooperation zwischen Industrie und Forschungseinrichtungen durch Nachwuchswissenschaftler,090268352,
T23010,Forschungskooperation zwischen Industrie und Forschungseinrichtungen durch Nachwuchswissenschaftler,,
T23090,Projektstabskosten,,
T240,Forschungskooperation in der mittelständischen Wirtschaft und Förderung der Innovationskompetenz mittelständischer Unternehmen,090268352,
T24010,Forschungskooperation in der mittelständischen Wirtschaft (Foko),,
T24020,Förderung der Innovationskompetenz mittelständischer Unternehmen (PRO INNO),,
T24090,Projektstabskosten,,
,,,
T241,Zentrales Innovationsprogramm Mittelstand (ZIM),090268352,
T24110,Zentrales Innovationsprogramm Mittelstand (ZIM) - Kooperationsförderung,,
T24120,Zentrales Innovationsprogramm Mittelstand (ZIM) - Netzwerkförderung,,
T24130,entrales Innovationsprogramm Mittelstand (ZIM) - Einzelprojektförderung,,
T24190,Projektstabskosten,,
T250,Talentsicherungsmaßnahme zur Förderung der Innovation (TSI),090268352,
T25010,Talentsicherungsmaßnahme zur Förderung der Innovation (TSI),,
T25090,Projektstabskosten,,
T260,Förderung von innovativen Netzwerken -Inno-Net-,090268352,
T26010,Förderung von innovativen Netzwerken -Inno-Net-,,
T26090,Projektstabskosten (Inno-Net),,
T270,"Unterstuetzung des Foerderwettbewerbs ""Netzwerkmanagement Ost"" (NEMO)",090268356,
T27010,"Unterstuetzung des Foerderwettbewerbs ""Netzwerkmanagement Ost"" (NEMO)",,
T27090,Projektstabskosten,,
T280,Förderung der Industrielle Gemeinschaftsforschung und -entwicklung (IGF),,
T28010,Förderung der Industrielle Gemeinschaftsforschung und -entwicklung (IGF),,
T28020,erweiterte Erfolgskontrolle / Begleitforschung,,
T28090,Projektstabskosten,,
T290,High-Tech-Strategie,300468310,
T29000,High-Tech-Strategie,,
T29010,Forschungsprämie I,,
T29020,Forschungsprämie II,,
T29030,Clusterwettbewerb,,
T29040,Neue Instrumente und Modellprojekte im Wissens- und Technologietransfer,,
T29050,KMU-innovativ,,
T29051,Hightech-Strategie: Biotechnologie (KMU),,
T29090,Projektstabskosten,,
T29091,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
T29092,Beratungsgremien (SK),,
T3,Innovationsfinanzierung / Beteiligung am Innovationsrisiko von Technologieunternehmen,,
T310,Förderung von jungen Technologieunternehmen in den alten Bundesländern,090268350,
,,090268352,
T31010,Modellversuch Förderung technologieorientierter Unternehmensgründungen (TOU),090268352,
T31020,Beteiligung am Betriebsrisiko der Deutschen Wagnisfinanzierungsgesellschaft (WFG),090268352,
T31031,Förderung besonderer Maßnahmen in Berlin - Sondermittel für Berliner Unternehmen,090268352,
T31032,Förderung besonderer Maßnahmen in Berlin - Berliner Büro WFG,090268352,
T31040,Modellversuch Beteiligungskapital für junge Technologie-Unternehmen (BJTU),090268350,
T31050,Beteiligungskapital für kleine Technologie-Unternehmen (BTU),090268350,
T31091,"Projektbegleiter und externe Einzelgutachter (PB,RE)",090268352,
T320,Förderung von jungen Technologieunternehmen in den neuen Bundesländern,090268352,
T32050,Technologiezentren in den neuen Bundesländern,,
T32060,Technologieorientierte Unternehmensgründungen in den neuen Bundesländern (TOU-NBL),,
T32070,Förderung und Unterstützung technologieorientierter Unternehmensgründungen in den neuen Bundesländern (FUTOUR),,
T32090,Projektstabskosten,,
T32091,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
T330,FuE-Darlehen für kleine Unternehmen zur Anwendung neuer Technologien,090268350,
T33010,FuE-Darlehen für kleine Unternehmen zur Anwendung neuer Technologien,,
T33020,ERP-Innovationsprogramm,,
T340,Förderung von FuE in KMU,,
T39000,Förderung der Produkterneuerung im Beitrittsgebiet,,
T4,Technisch-ökonomische Infrastruktur,,
T5,Übrige Fördermaßnahmen,,
V,"Geisteswissenschaften; Wirtschafts-, Finanz- und Sozialwissenschaften",,
V0,"Geisteswissenschaften; Wirtschafts-, Finanz- und Sozialwissenschaften",,
V010,Geisteswissenschaftliche Forschung,300342281,
,,300342282,
,,300363250DM,
,,300368510,
,,300368511,
,,300368772,
,,,
,,300382120,
,,300388250DM,
,,300388251,
,,3013,
V01010,Geisteswissenschaftliche Forschung - Projektförderung,300368510,
,,300368511,
V01050,Geisteswissenschaftliche Forschung - institutionelle Förderung,300388251,
,,3013,
V01070,Europäische und internationale Wissenschaftseinrichtungen,300368772,
V01090,Projektstabskosten,,
V01092,Beratungsgremien (SK),,
V020,Sozialwissenschaften,300368510,
V02010,"Sozialwissenschaften - Projektförderung, internationale Aktivitäten",300368510,
V02030,Wissenschaftsforschung - Projektförderung,300368510,
V030,Wirtschafts- und finanzwissenschaftliche Forschung,,
V03050,Strukturberichterstattung,,
V03070,Einzelprojekte,,
V03080,Evaluation und Begleitforschung,,
V050,Gesundheitlicher Verbraucherschutz durch Verbesserung der Lebensmittel- und Produktsicherheit; Bekämpfung von Zoonosen,100253201,
,,100254461,
,,100268422,
,,100268424,
,,100268609,
,,100268619,
,,100268634,
,,100289334,
,,150268407,
V05000,Gesundheitlicher Verbraucherschutz durch Verbesserung der Lebensmittel- und Produktsicherheit; Bekämpfung von Zoonosen,,
V060,"Sicherung und Verbesserung der Produkt- und Prozessqualität bei Lebensmitteln, Futtermitteln und anderen Produkten",100253201,
,,100254461,
,,100268422,
,,100268424,
,,100268609,
,,100268619,
,,100268634,
,,100289334,
,,150268407,
V06000,"Sicherung und Verbesserung der Produkt- und Prozessqualität bei Lebensmitteln, Futtermitteln und anderen Produkten",,
V070,Wirtschaftlicher Verbraucherschutz; Verbesserung der Informationsmöglichkeiten für Verbraucher,100253201,
,,100254461,
,,100268422,
,,100268424,
,,100268609,
,,100268619,
,,100268634,
,,100289334,
,,150268407,
V07000,Wirtschaftlicher Verbraucherschutz; Verbesserung der Informationsmöglichkeiten für Verbraucher,,
W,"Übrige, nicht anderen Bereichen zugeordnete Aktivitäten",,
W1,Strukturelle/innovative (Querschnitts-)maßnahmen,,
W110,"Planung; Analysen; Bildungs-, Wissenschafts- und Forschungsdaten",090268357,
,,300454101,
W11010,"Planung; Analysen; Bildungs-, Wissenschafts- und Forschungsdaten",,
W11091,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
W11092,Beratungsgremien (SK),,
W120,Technikfolgenabschätzung (soweit nicht anderen Bereichen zugeordnet),300454101,
W12010,Problemorientierte Technikfolgenabschätzung,,
W12020,Technikzentrierte Technikfolgenabschätzung,,
,,,
W12090,Projektstabskosten,,
W12091,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
W130,"""Brain Gain"" statt ""Brain Drain""",300368581,
W13000,"""Brain Gain"" statt ""Brain Drain""",,
W13090,Projektstabskosten,,
W131,Forschungszentren an Hochschulen und Verbesserung der Forschungsinfrastruktur,300368513,
,,300368581,
W13100,Forschungszentren an Hochschulen und Verbesserung der Forschungsinfrastruktur,,
W13190,Projektstabskosten,,
W141,Regionenorientierte Innovationspolitik für die neuen Länder,122568607,
,,300468397,
,,300468510,
W14100,Regionenorientierte Innovationspolitik für die neuen Länder,,
W14190,Projektstabskosten,,
W14191,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
W142,Strategien zur Durchsetzung von Chancengleichheit für Frauen in Bildung und Forschung,090254101,
,,170268641,
,,300368507,
W14210,"Förderung v. Frauenforschung/Genderforschung in den Bereichen Bildung, Wissenschaft und Forschung",,
W14220,"Maßnahmen zur Chancengleichheit von Frauen in Wissenschaft, Forschung und Technik",,
W14230,Innovative Studien- und Vernetzungskonzepte,,
W14240,Frauen in der Informationsgesellschaft,,
W14250,Maßnahmen zur Verbesserung der Ausbildungs- und beruflichen Entwicklungsmöglichkeiten von Frauen,,
W14260,Entwicklung und Erprobung effizienter Strategien zur Durchsetzung von Chancengleichheit und Förderung des Bewußtseinswandels,,
W14270,Fachveranstaltungen,,
